,input_chunk_length,num_layers,num_filters,n_epochs,dropout,rmse_score,mae_score
0,233,3,81,20,0.23910722237814916,678.7877234991752,467.1952268349736
1,330,3,197,13,0.010735908152868909,1.0153647744875393e+102,6.6991417032126884e+100
2,288,3,155,6,0.006580295446769095,707.0281081681726,478.6742616484565
3,123,3,99,17,0.00733976318588578,1.051107175620131e+149,6.12707198575911e+147
4,153,2,116,10,0.31898003383675894,716.2635754728705,483.9311875692276
5,354,2,47,5,0.15930686149694548,744.7081377615326,499.4409142932238
6,236,3,168,20,0.4261727040187687,700.4861683186032,475.9762979616157
7,199,3,230,6,0.04432091824178433,3.641308786353915e+38,1.9985551916961645e+37
8,270,3,134,16,0.16240600594022203,688.2735968996293,469.54060196133076
9,131,3,125,16,0.004453314865422997,730.7494368285465,490.7895687465198
10,200,2,37,20,0.0010215490157300764,3.1521524657749956e+26,3.8116374105143714e+25
11,266,3,84,16,0.10756634979688577,743.5108399544374,498.7566344465191
12,77,3,74,18,0.0671004603799848,706.0350669202935,477.65847150263784
13,291,3,146,13,0.18517405091643088,734.4607311490075,495.2815763091893
14,241,2,186,15,0.46704948257539053,693.46907632099,472.6861755700169
15,313,3,63,19,0.04423098229858478,710.0507582446426,477.9195382141541
16,172,3,116,9,0.17887456369334145,739.556159227129,496.88069833425385
17,251,2,94,14,0.08153257766041105,718.616216155668,485.0889525691514
18,212,3,237,11,0.21497074943633862,749.1717434667229,502.47449040958253
19,276,3,132,18,0.4986032070858819,708.8514903921296,480.2662426353133
20,307,2,201,18,0.024405038238520485,2.098866687015771e+35,1.426931712021431e+34
21,231,2,179,15,0.3074744084176251,711.4179287024273,481.6230011826842
22,247,2,207,15,0.47950383259763685,687.858405438319,470.68261850993315
23,186,2,252,12,0.11894716623948795,723.8149890379432,487.6729358713748
24,261,2,226,16,0.27639908373181293,694.939553729821,473.90968571777603
25,222,3,156,14,0.25495062445292976,717.363676701976,484.0022961988207
26,339,2,209,19,0.13021690542501896,697.7493268277353,476.5701352234599
27,297,3,104,17,0.4952222363013504,722.0159244671777,487.0923995411331
28,256,2,62,8,0.22872165879743403,738.5351070916355,495.99623460203463
29,329,3,133,12,0.14205909797732535,753.123057167479,504.6055683385254
30,274,3,213,14,0.24328136834278624,738.3673161869098,494.98647350625055
31,239,2,184,13,0.38401447708676056,723.171299635426,488.04277622357245
32,246,2,187,15,0.4973359810246793,695.9316239201771,474.08178778433546
33,216,2,167,15,0.3312284712562015,708.5620839016333,479.8398392397994
34,281,2,191,17,0.33052940369524036,678.5618533721379,465.7568728713506
35,279,2,218,17,0.18191188759447116,695.124135554352,473.4309562625291
36,320,2,157,19,0.31863768683011573,674.695881569906,465.67650767646745
37,323,2,169,19,0.2677855993882502,688.0651274003794,470.2500031260821
38,358,2,201,20,0.36081326426990246,680.021881413992,467.68148125538636
39,358,2,150,20,0.3393605376277525,658.5986127145102,460.73202526371415
40,346,2,143,20,0.3378829417657573,696.7602138324461,474.62059498753274
41,353,2,160,20,0.328486775560256,710.3983529259672,481.31811997068183
42,355,2,191,19,0.3591794362231485,706.4244062572959,479.26241767419185
43,337,2,172,20,0.21119787598809558,595.2696339273282,453.63319472907773
44,312,2,148,18,0.19333256344947877,706.3057847665374,478.9896747397288
45,107,5,64,7,0.05,176841426584.4546,46503782618.0703
46,105,2,64,14,0.05,716.8748527057794,484.6221906273398
47,86,5,64,13,0.05,770.6554921161894,651.1131576576153
48,116,3,64,12,0.05,699.8416647025663,474.66945372014806
49,127,2,64,8,0.05,755.1027867956692,505.6274669719166
50,102,2,64,12,0.05,732.4567808448219,492.3340388793666
51,141,4,64,15,0.05,7270.960452354452,6012.429570188716
52,117,5,64,6,0.05,696.0906117094976,477.5632069668239
53,103,3,64,17,0.05,669.4746354508169,472.13998209027517
54,142,3,64,7,0.05,741.1073513912748,498.2038789807319
55,83,4,64,20,0.05,740.9806142665352,497.34294635822846
56,125,4,64,19,0.05,2.453096932614391e+59,2.2891018097460387e+58
57,97,3,64,17,0.05,687.4875766037648,467.61140652155876
58,94,3,64,17,0.05,703.265207156209,476.60508771519784
59,92,3,64,17,0.05,745.8311412844744,500.850691185178
60,73,3,64,17,0.05,726.2867753185368,487.9276606481916
61,96,4,64,10,0.05,715.8630679423298,482.64914646449273
62,74,2,64,16,0.05,721.0225738686437,486.5939941645065
63,111,3,64,19,0.05,646.4217758165323,464.8310627670117
64,115,4,64,19,0.05,692.5062617593536,468.3703580475876
65,122,2,64,20,0.05,698.5713851347963,475.3447421839133
66,100,3,64,18,0.05,718.8473820073448,513.4689963401889
67,111,3,64,15,0.05,712.4600514974129,482.38023286553795
68,134,3,64,18,0.05,645.1556596108713,498.07800705791846
69,130,3,64,19,0.05,688.1993228962347,470.5774091294571
70,132,4,64,18,0.05,607.2513790029404,423.97146825107495
71,134,4,64,20,0.05,1.077383575334627e+37,1.6293143046730157e+36
72,136,4,64,18,0.05,699.1394744835791,473.2033832011982
73,121,4,64,15,0.05,1.4006098589595224e+20,2.7524248607521083e+19
74,136,5,64,10,0.05,3.129371367999272e+77,2.833827759768619e+76
