,input_chunk_length,num_layers,num_filters,n_epochs,dropout,rmse_score,mae_score
0,199,12,197,16,0.039053137014004105,579.6134274905181,388.03510315304936
1,117,10,122,18,0.03498963598714241,457.9853363520394,339.2424547264795
2,247,12,15,19,0.016203065228301353,467.85123053025666,340.21691593618857
3,148,10,169,18,0.050242962539092245,597.541294410825,401.0092212282772
4,93,7,56,6,0.0780804342651879,591.1495473886301,396.75042906686
